duration,u,w
60,17.923478939572217,6.847881519536452
90,22.443072143186743,8.509896928572788
180,23.46301993495549,8.629857165085273
270,26.36610416769429,8.213513607772466
360,27.355478362918,8.157399604313808
450,29.280353069333806,8.212382144051768
600,30.94513424570459,8.572686105366023
720,32.61925470239972,8.85903009423771
1080,36.50983189686821,9.305000775264377
1440,39.030292721654874,10.1044573758434
2880,46.596313164397635,15.011557485108964
4320,51.1934021056329,17.27071147697809
5760,53.55708111126176,18.66783714520734
7200,55.535340182764585,19.5339961262283
8640,57.742527718495616,20.585441741412875
