return period (a),0.5,1.0,2.0,3.0,5.0,10.0,15.0,50.0,100.0
frequency (1/a),2.0,1.0,0.5,0.333,0.2,0.1,0.067,0.02,0.01
duration (min),,,,,,,,,
5,2.90,4.53,6.17,7.12,8.33,9.96,10.92,13.76,15.39
10,5.31,7.52,9.73,11.02,12.65,14.86,16.15,19.99,22.20
15,7.00,9.64,12.27,13.82,15.76,18.40,19.94,24.52,27.15
20,8.23,11.22,14.20,15.95,18.15,21.14,22.89,28.08,31.07
30,9.85,13.41,16.98,19.06,21.69,25.26,27.34,33.54,37.10
45,11.18,15.43,19.68,22.17,25.31,29.56,32.05,39.44,43.69
60,11.86,16.68,21.51,24.33,27.88,32.70,35.52,43.90,48.72
90,13.62,18.65,23.67,26.61,30.31,35.34,38.28,47.00,52.03
180,17.17,22.56,27.95,31.10,35.07,40.46,43.61,52.98,58.37
270,19.59,25.21,30.83,34.11,38.25,43.87,47.15,56.91,62.53
360,21.50,27.28,33.07,36.45,40.71,46.49,49.88,59.92,65.70
450,23.09,29.01,34.92,38.38,42.74,48.66,52.12,62.39,68.31
600,25.30,31.39,37.48,41.04,45.53,51.62,55.18,65.76,71.85
720,26.79,33.00,39.20,42.83,47.40,53.61,57.24,68.02,74.22
720,26.79,33.00,39.20,42.83,47.40,53.61,57.24,68.02,74.22
1080,30.17,36.61,43.05,46.81,51.56,58.00,61.76,72.95,79.39
1440,32.09,39.12,46.14,50.24,55.42,62.44,66.55,78.74,85.76
2880,36.20,46.63,57.06,63.15,70.84,81.26,87.36,105.47,115.90
4320,39.23,51.22,63.22,70.23,79.07,91.07,98.08,118.92,130.91
5760,40.66,53.60,66.55,74.12,83.66,96.61,104.18,126.67,139.61
7200,42.01,55.55,69.08,77.00,86.98,100.51,108.43,131.94,145.48
8640,43.49,57.75,72.02,80.36,90.87,105.14,113.48,138.26,152.53
